"path","bytes","status","signer_subject","has_timestamp","sha256","package"
"site-packages\PIL\_imagingmorph.cp312-win_amd64.pyd","12288","NotSigned","","no","B8523BBCE8B322B4B931863C61B8107156B3F23FE1BBBFE0BC3FA318EA662FB0","PIL"
"site-packages\PIL\_imagingtk.cp312-win_amd64.pyd","14848","NotSigned","","no","690CC1CAE4A2DC8594A342B9241E691DCC89D81DAD4CDDCEFDF285275365A2B1","PIL"
"site-packages\PIL\_webp.cp312-win_amd64.pyd","416256","NotSigned","","no","9823CEBB84F425AF3AC1E7437259BC176E7AD7E25D7FA829B0E1A3E55C11BE70","PIL"
"site-packages\pydantic_core\_pydantic_core.cp312-win_amd64.pyd","5157888","NotSigned","","no","28FD1266FB9946FE61775505A13C0BF803F6932B51B306A0032687393D9A558B","pydantic_core"
"_asyncio.pyd","74096","Valid","Python Software Foundation","yes","C77DE90CAD749087A0C5DC5E19D78D24F6EF44E7E5AC19B8420CFC0CEA62395D","python-embed"
"_bz2.pyd","86896","Valid","Python Software Foundation","yes","65F610646D10D5BABEA080E060D244B546EC52C54012E5E937DC72DCC2E2E7BC","python-embed"
"_ctypes.pyd","127480","Valid","Python Software Foundation","yes","0E56107A891100535F2DA79D85A5AE65FF1227B4765BD108F8593AC1A1110D81","python-embed"
"_decimal.pyd","262000","Valid","Python Software Foundation","yes","AEACFEAD2BEFCC0768063A037BB64BD32109AE09CB144E5F571B04DD7965DB9D","python-embed"
"_elementtree.pyd","135160","Valid","Python Software Foundation","yes","5009A9A53C03EF8387443B5CF6CE08E5C3A79727466A0B931C5BBCA915BF89CA","python-embed"
"_hashlib.pyd","68976","Valid","Python Software Foundation","yes","03D233DBACE599168EAFFEC823DE6ED7BEEC8C2A4EBFE9B8A3D8E042A59AF3BA","python-embed"
"_lzma.pyd","161136","Valid","Python Software Foundation","yes","E3DEECC1F59A3B811C608861DECD84DE1E8DF8BAFD5E2B39188861318C5A38CF","python-embed"
"_msi.pyd","46584","Valid","Python Software Foundation","yes","B49332BAE154EBDD8C3D5E7DDFDDE336D9C47F91BA028DC67BAFB2420B3DBB5C","python-embed"
"_multiprocessing.pyd","37368","Valid","Python Software Foundation","yes","2C636DF7059CB0DD7E978DD735C7C5C8DDB09CF94754CF9E232296B96C5C545A","python-embed"
"_overlapped.pyd","57336","Valid","Python Software Foundation","yes","662126FF80C3A1B4CEDF74074029C12AE4743E6D3B37376E39AC70AACB7D4D3C","python-embed"
"_queue.pyd","33784","Valid","Python Software Foundation","yes","48E76E0AD63F6932B4A77B5819F41C1E7595636CA8D9E824F0943A14B8BB5035","python-embed"
"_socket.pyd","85496","Valid","Python Software Foundation","yes","3EFA4636CF9E350856F6927D67A4C2564BF9BD2758A00BBF17D3AECE5B60016D","python-embed"
"_sqlite3.pyd","126184","Valid","Python Software Foundation","yes","64B51DF2805C58B023A875E8AE3BE7AC7F61EF664F32CA6C90F6315DA47EF0BC","python-embed"
"_ssl.pyd","179432","Valid","Python Software Foundation","yes","0BC527D2DBC50009F43B2ED5D5982C4F63F4B647647FFA9EDA612DCDA80F6040","python-embed"
"_uuid.pyd","27128","Valid","Python Software Foundation","yes","ACCE4F281D7FFB2DEC0997527FAF25B1DF62AD7BD3032C568DDCF65C90EDC867","python-embed"
"_wmi.pyd","40304","Valid","Python Software Foundation","yes","A980F1E7A29842BD946863FC2693FBEB555A9DC0F9E1630DFED9A2FCDEF3ECE2","python-embed"
"_zoneinfo.pyd","49656","Valid","Python Software Foundation","yes","76F1439CDA82AB6976DF6BA505C4079444703F6D44D8B0259CE59C0FF4279FB4","python-embed"
"libcrypto-3.dll","5231472","Valid","Python Software Foundation","yes","CCFFFDDCD3DEFB8D899026298AF9AF43BC186130F8483D77E97C93233D5F27D7","python-embed"
"libffi-8.dll","39696","Valid","Python Software Foundation","yes","EFF52743773EB550FCC6CE3EFC37C85724502233B6B002A35496D828BD7B280A","python-embed"
"libssl-3.dll","794992","Valid","Python Software Foundation","yes","007142039F04D04E0ED607BDA53DE095E5BC6A8A10D26ECEDDE94EA7D2D7EEFE","python-embed"
"pyexpat.pyd","205304","Valid","Python Software Foundation","yes","D615E193D1AFFCDBFE504E90D3621CBDCFF94BF72B79D899126534507FD6D27A","python-embed"
"python.exe","104952","Valid","Python Software Foundation","yes","4D6F5F81A4BCA11191C4C7C6B43632694D0A4CE74E068619D8FDC161D469859A","python-embed"
"python3.dll","70376","Valid","Python Software Foundation","yes","FB975A606E7FBF74F64260E3F60C3490B4F74A183C0926FD6ED1AC4C52AC7B1C","python-embed"
"python312.dll","6945272","Valid","Python Software Foundation","yes","9A0E3435AAA680D868150F87AB3E388AD2EEBC22F87E036155C7B4EDA8CD2120","python-embed"
"pythonw.exe","104304","Valid","Python Software Foundation","yes","D72294FB338BC2FC8896D25A7395A4DB466425427E1559E77185D5135A830681","python-embed"
"select.pyd","33136","Valid","Python Software Foundation","yes","D4D7181B11DB0BD22A6CD5CDA6F8583D1F5C77615FD0A6CA33350619D6E0438A","python-embed"
"sqlite3.dll","1583608","Valid","Python Software Foundation","yes","8DAA45684BF6688FCA28D956B2E8942F2FA98F656675CE68E6D61DD869848A7A","python-embed"
"unicodedata.pyd","1140592","Valid","Python Software Foundation","yes","208EE1CD3CBAD0828433CA7246B05BE2B1FF5569983D27D296C0B38888585488","python-embed"
"vcruntime140.dll","120400","Valid","Microsoft Windows Software Compatibility Publisher","yes","052AD6A20D375957E82AA6A3C441EA548D89BE0981516CA7EB306E063D5027F4","python-embed"
"vcruntime140_1.dll","49776","Valid","Microsoft Windows Software Compatibility Publisher","yes","6A99BC0128E0C7D6CBBF615FCC26909565E17D4CA3451B97F8987F9C6ACBC6C8","python-embed"
"winsound.pyd","31736","Valid","Python Software Foundation","yes","100E8D676777603C7258DAF9B2F23EF001F09F1596D8708DE359326FFF72BDDD","python-embed"
"site-packages\regex\_regex.cp312-win_amd64.pyd","726016","NotSigned","","no","8747B41F42655A8CF5571026917F0C549181AFA2B97F74CA669E475985B81B5B","regex"
"site-packages\safetensors\_safetensors_rust.pyd","734720","NotSigned","","no","80A2B3F7658854ADE855C5FB6192EE38FE2C7FBFD38D1C7C1F4D2C44F67125E4","safetensors"
"site-packages\scipy\_cyutility.cp312-win_amd64.pyd","192512","NotSigned","","no","5D31B649995F6E9FB95E15F2BA35DE18618347C33AEE07B9B3EAB506A2FDBD8F","scipy"
"site-packages\scipy\_lib\_ccallback_c.cp312-win_amd64.pyd","105984","NotSigned","","no","4BA005064AF61E94AD473F09BA67836523DB6773458470A6D8D7E5C1234BBDAC","scipy"
"site-packages\scipy\_lib\_fpumode.cp312-win_amd64.pyd","11776","NotSigned","","no","227637208FEFD2C1E41E57DA4A161ED08C9B4A52DCB5E90F6A75F1A9F6AFA4E0","scipy"
"site-packages\scipy\_lib\_test_ccallback.cp312-win_amd64.pyd","48128","NotSigned","","no","D057138FC9D01171748BB0BBF627A98017B2D03C8E4CA4A45CBEB9B7CCDDC5C7","scipy"
"site-packages\scipy\_lib\_test_deprecation_call.cp312-win_amd64.pyd","36352","NotSigned","","no","52CEF060143A058E12BFCAAF70E8007569182C1B8B0198EEA09D030B4CA8C3F8","scipy"
"site-packages\scipy\_lib\_test_deprecation_def.cp312-win_amd64.pyd","22016","NotSigned","","no","BE5FBB8D5A93F84CBCA45EBF9F47B5205471B0AC7B285FD55CADECD0882317AD","scipy"
"site-packages\scipy\_lib\_uarray\_uarray.cp312-win_amd64.pyd","247296","NotSigned","","no","5B759F7DF1EF9D0F61061ED528F6E9D0FE5C8938729AE9FCC26C557302403A23","scipy"
"site-packages\scipy\_lib\messagestream.cp312-win_amd64.pyd","62464","NotSigned","","no","A45EE93E69C84E9C198444DF93B6F8FFC4CE09C852F3892137B5B6F6034BAE6A","scipy"
"site-packages\scipy\cluster\hierarchy\_hierarchy.cp312-win_amd64.pyd","222720","NotSigned","","no","15968B75C9F81D564F8158E8651A099703B7C44981334EA80AAF67502E5920CD","scipy"
"site-packages\scipy\cluster\hierarchy\_optimal_leaf_ordering.cp312-win_amd64.pyd","169984","NotSigned","","no","E3D0273BEC8F079E1771169E86AC11E0CF2A9D4632130C0386E75A1A779CBCD0","scipy"
"site-packages\scipy\cluster\vq\_vq.cp312-win_amd64.pyd","105472","NotSigned","","no","70B06CDC4C39CE88E1D8A4C83C98F03D0C65E4834EF7E277094ED6FD00D667D4","scipy"
"site-packages\scipy\fft\_duccfft\pyduccfft.cp312-win_amd64.pyd","2786816","NotSigned","","no","18398EC2696B44BDA1E57036BE146534D916A01FDB82D6632C73472A2DFD49AF","scipy"
"site-packages\scipy\fftpack\convolve.cp312-win_amd64.pyd","122368","NotSigned","","no","5E84598E17D04B2CD232C13BD5E5ECA49E7136E78871DB751878219C26951E0F","scipy"
"site-packages\scipy\integrate\_dop.cp312-win_amd64.pyd","87040","NotSigned","","no","63CC8187017F0BD2A5E33B7DB7D487BB33AE264BEFB6861467994653DAC1E3B1","scipy"
"site-packages\scipy\integrate\_odepack.cp312-win_amd64.pyd","98816","NotSigned","","no","8CEC2D7783E804794AA7EECC6EB80E3380B350AF35C92BC419B977EF35D901C1","scipy"
"site-packages\scipy\integrate\_quadpack.cp312-win_amd64.pyd","142336","NotSigned","","no","03E0ED70DC1910B227F32676D4F4C8621F4B82AB45429E6F167DC582C4C67DD8","scipy"
"site-packages\scipy\integrate\_test_multivariate.cp312-win_amd64.pyd","13824","NotSigned","","no","B503483ABDCADB40CFEA257C54837258876238960F95DB875F74AF72AC005D46","scipy"
"site-packages\scipy\integrate\_vode.cp312-win_amd64.pyd","139776","NotSigned","","no","3B858A16E3408B25B6D3EF03066AA222E3C50F96E0526966D715A5FB93E17E5D","scipy"
"site-packages\scipy\interpolate\_dierckx.cp312-win_amd64.pyd","292864","NotSigned","","no","608680528EE32E54E13316FDD191C6A94E4BF54C64E389BF2B9F59A0EC3F9C2D","scipy"
"site-packages\scipy\interpolate\_fitpack.cp312-win_amd64.pyd","346112","NotSigned","","no","AF4120E06472C88E2B44BEB834A8E249ECC40DE777A2D3D7F74508FA8292B8DE","scipy"
"site-packages\scipy\interpolate\_interpnd.cp312-win_amd64.pyd","235008","NotSigned","","no","C3976F6CEF4D797F6AD156435CBA96782FD164695BEB5D44DAE2EBE138EB48D1","scipy"
"site-packages\scipy\interpolate\_ppoly.cp312-win_amd64.pyd","206848","NotSigned","","no","A3EF6CA12445CC777E0D07DA7890959509E96905701D87B97F368E045FD6BD0D","scipy"
"site-packages\scipy\interpolate\_rbfinterp_pythran.cp312-win_amd64.pyd","1144832","NotSigned","","no","D2392F5B85D9FBF0D3422EE8A531DD805FCB502D64AB04AFB6CB0EB21E03B5F7","scipy"
"site-packages\scipy\interpolate\_rgi_cython.cp312-win_amd64.pyd","122880","NotSigned","","no","430673F962EF25CDFE4587915541FC843AB77C99756AF741D1CDF6C9DFE12CDF","scipy"
"site-packages\scipy\io\_fast_matrix_market\_fmm_core.cp312-win_amd64.pyd","2880512","NotSigned","","no","CDC0CCCA43A3FCCAA9F47D3E12066956CB2A4B27C9C7D7D45A6A167DE9650E26","scipy"
"site-packages\scipy\io\matlab\_mio_utils.cp312-win_amd64.pyd","53760","NotSigned","","no","F06907F32F6213FE5CEAABF0D3FBBD89871A3F77DFE2D75ABF938FE001DC47D1","scipy"
"site-packages\scipy\io\matlab\_mio5_utils.cp312-win_amd64.pyd","185344","NotSigned","","no","929AB5A1BB59F8C1C824DB0335B996CF82F6884966C5E5EA30EC5DB7AAA700D0","scipy"
"site-packages\scipy\io\matlab\_streams.cp312-win_amd64.pyd","108544","NotSigned","","no","43079658168A32E8372044EE3108C1D43CF0FD000B48647F3BB8970F387240E6","scipy"
"site-packages\scipy\linalg\_batched_linalg.cp312-win_amd64.pyd","1165824","NotSigned","","no","4FF2E41E64D34A0F34CA4363D48074451E1E9977BFC366BF0B80D4C2F4A50268","scipy"
"site-packages\scipy\linalg\_cythonized_array_utils.cp312-win_amd64.pyd","198656","NotSigned","","no","DEAB4AAECDA674E2B45C4A19742DA78DC03F624CE023846417B7A18A8339031F","scipy"
"site-packages\scipy\linalg\_decomp_interpolative.cp312-win_amd64.pyd","742400","NotSigned","","no","CD4ACC7A49F36691C2AEAA128CBE2BCAA8F85AC71B8CF131EA58EF1291B00166","scipy"
"site-packages\scipy\linalg\_decomp_update.cp312-win_amd64.pyd","303616","NotSigned","","no","2BF6C314EDD1A8BF354F238415F3295AE464FDE97E1F276CA7EFCDC177AFE546","scipy"
"site-packages\scipy\linalg\_fblas.cp312-win_amd64.pyd","739840","NotSigned","","no","4832BD6D4E8F9BA7317985FDFA8656E8661E98CE952BA757671E3C2D236D9389","scipy"
"site-packages\scipy\linalg\_flapack.cp312-win_amd64.pyd","2301440","NotSigned","","no","EA9FC3BA84ABFB7BC1BE930D94A237AE494DF9EDE89A919602D661B606F55138","scipy"
"site-packages\scipy\linalg\_internal_matfuncs.cp312-win_amd64.pyd","172032","NotSigned","","no","AD0EC88336620B15D80F8588A212CADE3700B90C329C90B26BB10C5D4B8579C8","scipy"
"site-packages\scipy\linalg\_linalg_pythran.cp312-win_amd64.pyd","1038336","NotSigned","","no","6AC6BEA5E09D9F07F9E986BC2EDBE2B632CAFACDFAB9815865573427814A03E4","scipy"
"site-packages\scipy\linalg\_matfuncs_sqrtm_triu.cp312-win_amd64.pyd","107520","NotSigned","","no","EA95B4AA9018F7E059CE81047279D5F569D37FF6FB5ECCF9DA8511D115C4DC00","scipy"
"site-packages\scipy\linalg\_solve_toeplitz.cp312-win_amd64.pyd","123904","NotSigned","","no","F7627F12FFC46542802ED6940A7C449589226548D32B8DB6DD1C9ABC04CD0671","scipy"
"site-packages\scipy\linalg\cython_blas.cp312-win_amd64.pyd","127488","NotSigned","","no","3B74E06F76FEAB1041954F5B3EFEDEE516BD1259CC97846338D9570EBD39C0A5","scipy"
"site-packages\scipy\linalg\cython_lapack.cp312-win_amd64.pyd","203264","NotSigned","","no","5F9F5128647DC62EBBF518B8F4993061B01497ADF19CF26FFA1021F9DB88CA5B","scipy"
"site-packages\scipy\ndimage\_ctest.cp312-win_amd64.pyd","13824","NotSigned","","no","7D2A4993DC9F4697AEAE47678115C397FA6E31445D977E0B7B793406AC9E1A27","scipy"
"site-packages\scipy\ndimage\_cytest.cp312-win_amd64.pyd","73216","NotSigned","","no","D6A6FAF1F4B6E82D1E41FF0F39223C1B40E6734FD77E9A76B6696FA97E0F3A21","scipy"
"site-packages\scipy\ndimage\_nd_image.cp312-win_amd64.pyd","196608","NotSigned","","no","24B51C516E9344DFE459F5FD3932D04049F6AB7F9A131E2789E27C69EA7157FD","scipy"
"site-packages\scipy\ndimage\_ni_label.cp312-win_amd64.pyd","212480","NotSigned","","no","94E09844B8A3371F1B523A0AA2CE32ADA0E3627456AFD1E785C5A5E67849A27A","scipy"
"site-packages\scipy\ndimage\_rank_filter_1d.cp312-win_amd64.pyd","128000","NotSigned","","no","77F996DD45D7F2AA4E563340015791C067CDA9971BF55DBAEBEDC117E26E9DC1","scipy"
"site-packages\scipy\odr\__odrpack.cp312-win_amd64.pyd","715776","NotSigned","","no","0F767A3AAB13176DA056FC89E7758E7F3CD79EFF260D6A0977A2A96066D76AB9","scipy"
"site-packages\scipy\optimize\_bglu_dense.cp312-win_amd64.pyd","175616","NotSigned","","no","F1932732B5384833A4D36B4AB715E79D36C941D538AD9379445EDE7DCA77C7EC","scipy"
"site-packages\scipy\optimize\_direct.cp312-win_amd64.pyd","70656","NotSigned","","no","7CCD80C266D65FA2A15B7E11DD998F3A8E81937FAFC48C9F1BA4786FC867A4D7","scipy"
"site-packages\scipy\optimize\_group_columns.cp312-win_amd64.pyd","1007616","NotSigned","","no","7B2EA108304B87833E64C3BA9E5E6E8E6421D0D2E8EDA15ED5EA91A1D75ECC4A","scipy"
"site-packages\scipy\optimize\_highspy\_core.cp312-win_amd64.pyd","6709248","NotSigned","","no","E6BEB8321A4905C9BD0BA0EEC2DFA7E27D76A01AB7D0ABEAB81FCCE9AE6732E1","scipy"
"site-packages\scipy\optimize\_highspy\_highs_options.cp312-win_amd64.pyd","543232","NotSigned","","no","8B3CA9F9F5C5C56152BCD757A44C574F2E9C907FDA564ED9FF6A5552CDF0CFA6","scipy"
"site-packages\scipy\optimize\_lbfgsb.cp312-win_amd64.pyd","49664","NotSigned","","no","3AB8D1A5A2391952C66A4DE2126C3F151C7EFDAA2E8F340C465BF79B488A2739","scipy"
"site-packages\scipy\optimize\_lsap.cp312-win_amd64.pyd","190976","NotSigned","","no","34E851D39D8C07B071E1206752073B86D29E5CFB63001BC611805AC1D0DB7772","scipy"
"site-packages\scipy\optimize\_lsq\givens_elimination.cp312-win_amd64.pyd","70144","NotSigned","","no","C7A2D232BC5D4E6AFED937DF153FB36D128F5C2416527F2EB7CC8306AB6BC970","scipy"
"site-packages\scipy\optimize\_minpack.cp312-win_amd64.pyd","125952","NotSigned","","no","24FE418DBA91526E9AA41CD44902884BA42D63C67261C4C9CAB514F608F0EBCA","scipy"
"site-packages\scipy\optimize\_moduleTNC.cp312-win_amd64.pyd","151040","NotSigned","","no","B6D7FACC4F94F9C07BADE87AD7E9A096A4B112A2CA56FEA9B4BC19DED68D0959","scipy"
"site-packages\scipy\optimize\_pava_pybind.cp312-win_amd64.pyd","324096","NotSigned","","no","8B63297BCE9CB14EBF4D51AC87CDAD1EB27ED3B6F6867524FE06554623BAFF1D","scipy"
"site-packages\scipy\optimize\_slsqplib.cp312-win_amd64.pyd","48640","NotSigned","","no","A108AB846BCCB35169DC86B37C14E25A2EC4162B0235EA5282BA28EA057FF011","scipy"
