"path","bytes","status","signer_subject","has_timestamp","package"
"site-packages\_rocm_sdk_core\lib\llvm\bin\wasm-ld.exe","78923776","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\yaml-bench.exe","375808","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\yaml2obj.exe","2562560","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\lib\clang\23\lib\windows\clang_rt.asan_dynamic-x86_64.dll","549376","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_libraries\bin\hipblas.dll","801280","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\hipdnn_backend.dll","2269184","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\hipdnn_plugins\engines\hip_kernel_provider.dll","2305536","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\hipdnn_plugins\engines\hipblaslt_plugin.dll","211968","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\hipdnn_plugins\engines\miopen_plugin.dll","529920","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\hipfft.dll","154112","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\hipfftw.dll","274432","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\hiprand.dll","17408","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\hipsolver.dll","1540096","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\hipsparse.dll","219648","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\libhipblaslt.dll","6301696","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\MIOpen.dll","493655040","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\MIOpenCKGroupedConv_gfx1151.dll","307915264","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\origami.dll","368128","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\rocblas.dll","21020160","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\rocfft.dll","27509760","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\rocrand.dll","36688896","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\rocsolver.dll","24983040","NotSigned","","no","_rocm_sdk_libraries"
